Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",37.28,69.69,144.12,311.78
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,130.78,178.03,,782.36
Industrias manufactureras,172.69,270.38,270.75,325.44
Comercio al por mayor,20.21,25.17,36.38,26.79
Comercio al por menor,25.93,48.93,56.49,51.82
"Transportes, correos y almacenamiento",168.69,135.01,189.8,159.55
Información en medios masivos,355.26,2165.42,289.01,172.01
Servicios financieros y de seguros,15.11,114.74,68.97,40.83
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,302.07,207.69,257.87,229.33
"Servicios profesionales, científicos y técnicos",121.23,81.47,123.75,98.78
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",339.63,-7593.96,81.44,136.74
Servicios educativos,75.14,55.8,22.31,123.39
Servicios de salud y de asistencia social,55.45,77.15,108.92,76.92
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",40.95,130.18,234.44,123.6
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,30.16,54.23,66.88,52.87
Otros servicios excepto actividades gubernamentales,15.31,49.22,59.2,53.23
Total,100.0,100.0,100.0,100.0
