Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",143.14,6818.6,255.79,-6602.09
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,34.49,1665.95,,
Industrias manufactureras,41.44,4553.02,541.6,99.49
Comercio al por mayor,7.93,143.05,36.17,46.65
Comercio al por menor,17.72,-1633.48,19.29,141.02
"Transportes, correos y almacenamiento",92.23,434.08,-536.26,87.09
Información en medios masivos,114.16,,15074.16,
Servicios financieros y de seguros,116.58,33.17,25.84,95.55
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,55.77,510.28,-25.9,2972.04
"Servicios profesionales, científicos y técnicos",116.91,417.17,144.23,77.01
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",9.57,256.95,-4.65,385.16
Servicios educativos,865.1,213.36,90.0,8943.54
Servicios de salud y de asistencia social,36.55,109.44,34.67,260.29
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7.18,118.11,165.66,3809.04
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,19.82,191.62,16.01,78.65
Otros servicios excepto actividades gubernamentales,16.32,123.13,8.5,54.65
Total,100.0,100.0,100.0,100.0
