Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.1,0.33,0.53,0.46
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,13.33,9.24,6.66,5.56
Industrias manufactureras,15.92,25.18,14.21,12.04
Comercio al por mayor,7.94,12.49,15.21,17.1
Comercio al por menor,15.38,20.77,31.01,30.86
"Transportes, correos y almacenamiento",6.73,11.09,10.57,8.91
Información en medios masivos,27.32,3.06,1.91,1.38
Servicios financieros y de seguros,0.39,0.5,1.35,1.17
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.69,0.79,0.39,0.81
"Servicios profesionales, científicos y técnicos",1.79,1.22,1.26,1.59
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.98,2.9,2.56,1.56
Servicios educativos,1.04,2.84,2.61,2.24
Servicios de salud y de asistencia social,0.91,1.03,1.69,2.58
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.57,0.6,0.5,0.69
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.08,5.43,6.67,9.54
Otros servicios excepto actividades gubernamentales,2.83,2.54,2.88,3.53
Total,100.0,100.0,100.0,100.0
