Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,101.204 + 4C,121.547 + 2C,139.775 + 5C,90.78 + 5C,270.878 + 3C,32.103 + 4C,73.755 + 2C,53.681 + 5C,33.18 + 5C,81.95 + 3C,69.101 + 4C,47.792 + 2C,86.094 + 5C,57.6 + 5C,188.928 + 3C,18.095 + 4C,3.477 + 2C,11.549 + 5C,-0.681 + 5C,3.564 + 3C,7.411 + 4C,3.529 + 2C,11.448 + 5C,-1.314 + 5C,3.539 + 3C,587 + 4C,851 + 2C,679 + 5C,598 + 5C,870 + 3C,152.211 + 4C,157.019 + 2C,152.966 + 5C,212.98 + 5C,281.518 + 3C
"Sector 54 Servicios profesionales, científicos y técnicos",154.988 + 6C,314.579 + 2C,216.35 + 5C,293.775 + 5C,526.93 + 3C,62.721 + 6C,148.322 + 2C,90.877 + 5C,83.157 + 5C,170.72 + 3C,92.267 + 6C,166.257 + 2C,125.473 + 5C,210.618 + 5C,356.21 + 3C,4.158 + 6C,8.808 + 2C,4.639 + 5C,1.917 + 5C,1.902 + 3C,3.646 + 6C,9.281 + 2C,4.627 + 5C,2.045 + 5C,1.925 + 3C,1250 + 6C,2010 + 2C,1554 + 5C,1347 + 5C,1538 + 3C,78.022 + 6C,154.239 + 2C,120.659 + 5C,133.788 + 5C,198.529 + 3C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",357.793 + 3C,171.872 + 4C,515.032 + 5C,597.816 + 3C,516.961 + 2C,259.777 + 3C,47.162 + 4C,142.166 + 5C,139.389 + 3C,146.454 + 2C,98.016 + 3C,124.71 + 4C,372.866 + 5C,458.427 + 3C,370.507 + 2C,5.043 + 3C,3.631 + 4C,2.699 + 5C,11.731 + 3C,6.804 + 2C,4.477 + 3C,3.639 + 4C,2.362 + 5C,14.456 + 3C,6.707 + 2C,2588 + 3C,1581 + 4C,2676 + 5C,1959 + 3C,1259 + 2C,81.285 + 3C,57.173 + 4C,53.9 + 5C,122.41 + 3C,101.077 + 2C
Sector 61 Servicios educativos,163.103 + 5C,183.348 + 3C,503.634 + C,611.108 + 5C,743.103 + C,32.229 + 5C,42.559 + 3C,157.415 + C,141.344 + 5C,182.064 + C,130.874 + 5C,140.789 + 3C,346.219 + C,469.764 + 5C,561.039 + C,10.89 + 5C,29.963 + 3C,47.46 + C,-7.684 + 5C,6.113 + C,10.674 + 5C,29.944 + 3C,47.432 + C,-7.703 + 5C,5.926 + C,1436 + 5C,1566 + 3C,2452 + C,2989 + 5C,2729 + C,104.812 + 5C,185.749 + 3C,137.598 + C,442.103 + 5C,748.05 + C
Sector 62 Servicios de salud y de asistencia social,78.494 + 3C,160.249 + 3C,183.365 + 3C,394.208 + 3C,858.842 + 4C,34.29 + 3C,69.918 + 3C,75.533 + 3C,177.228 + 3C,363.148 + 4C,44.204 + 3C,90.331 + 3C,107.832 + 3C,216.98 + 3C,495.694 + 4C,4.017 + 3C,2.619 + 3C,9.328 + 3C,7.995 + 3C,7.622 + 4C,3.916 + 3C,2.726 + 3C,8.437 + 3C,7.589 + 3C,7.443 + 4C,980 + 3C,1898 + 3C,1726 + 3C,2099 + 3C,2566 + 4C,71.64 + 3C,174.222 + 3C,186.023 + 3C,379.037 + 3C,540.94 + 4C
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",74.732 + 6C,100.892 + 7C,105.837 + 4C,117.965 + 4C,229.93 + 5C,33.25 + 6C,27.792 + 7C,28.088 + 4C,48.607 + 4C,77.396 + 5C,41.482 + 6C,73.1 + 7C,77.749 + 4C,69.358 + 4C,152.534 + 5C,0.385 + 6C,0.059 + 7C,3.146 + 4C,1.553 + 4C,18.985 + 5C,0.106 + 6C,0.05 + 7C,3.002 + 4C,1.399 + 4C,18.997 + 5C,412 + 6C,528 + 7C,469 + 4C,577 + 4C,887 + 5C,150.923 + 6C,216.691 + 7C,38.303 + 4C,263.471 + 4C,386.007 + 5C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,438.094 + 4C,717.082 + C,964.485 + 2C,1559.945 + 2C,3170.689,234.815 + 4C,388.501 + C,568.741 + 2C,941.441 + 2C,1561.901,203.279 + 4C,328.581 + C,395.744 + 2C,618.504 + 2C,1608.788,4.329 + 4C,13.442 + C,14.399 + 2C,21.176 + 2C,24.829,4.235 + 4C,13.042 + C,14.136 + 2C,17.066 + 2C,24.629,3667 + 4C,5388 + C,5611 + 2C,7026 + 2C,9057,320.673 + 4C,571.376 + C,534.936 + 2C,582.414 + 2C,918.527
Sector 81 Otros servicios excepto actividades gubernamentales,296.985 + C,497.06 + 2C,450.758 + 2C,672.735 + 2C,1172.947 + 2C,127.175 + C,543.532 + 2C,204.465 + 2C,352.206 + 2C,444.407 + 2C,169.81 + C,-46.472 + 2C,246.293 + 2C,320.529 + 2C,728.54 + 2C,9.725 + C,9.327 + 2C,19.125 + 2C,20.001 + 2C,20.095 + 2C,8.866 + C,9.152 + 2C,17.787 + 2C,19.413 + 2C,19.75 + 2C,3942 + C,5163 + 2C,4535 + 2C,6087 + 2C,6067 + 2C,287.142 + C,391.609 + 2C,344.293 + 2C,470.553 + 2C,622.287 + 2C
Total Centro,8855.056,18082.574,18069.893,24112.376,35501.022,3711.205,8869.732,8723.83,8463.555,12523.135,5143.851,9212.842,9346.063,15648.821,22977.887,750.43,1070.723,1068.344,474.159,1241.293,593.404,1005.407,876.577,590.874,1528.883,56920,65286,66830,70989,71105,4494.598,12521.185,12124.496,18936.268,25325.127
checksum,8457.548 + 69C,17571.064 + 66C,17753.822 + 67C,23394.041 + 70C,33236.744 + 56C,3601.291 + 69C,8804.781 + 66C,8572.573 + 67C,8159.434 + 70C,11528.96 + 56C,4856.257 + 69C,8766.283 + 66C,9181.249 + 67C,15234.607 + 70C,21707.784 + 56C,688.149 + 69C,902.61 + 66C,1064.767 + 67C,450.232 + 70C,1193.834 + 56C,534.447 + 69C,838.001 + 66C,873.345 + 67C,565.991 + 70C,1481.567 + 56C,55615 + 69C,64166 + 66C,65476 + 67C,69612 + 70C,69824 + 56C,4238.611 + 69C,11730.087 + 66C,11221.664 + 67C,17707.568 + 70C,17921.286 + 56C
