Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas
2018,28 Tamaulipas,"",Sector 81 Otros servicios excepto actividades gubernamentales,21248
2018,28 Tamaulipas,001 Abasolo,Total municipal,370
2018,28 Tamaulipas,001 Abasolo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",20
2018,28 Tamaulipas,001 Abasolo,Sector 21 Minería,1
2018,28 Tamaulipas,001 Abasolo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,001 Abasolo,Sector 31-33 Industrias manufactureras,33
2018,28 Tamaulipas,001 Abasolo,Sector 43 Comercio al por mayor,21
2018,28 Tamaulipas,001 Abasolo,Sector 46 Comercio al por menor,175
2018,28 Tamaulipas,001 Abasolo,"Sector 48-49 Transportes, correos y almacenamiento",2
2018,28 Tamaulipas,001 Abasolo,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,001 Abasolo,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,001 Abasolo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3
2018,28 Tamaulipas,001 Abasolo,"Sector 54 Servicios profesionales, científicos y técnicos",2
2018,28 Tamaulipas,001 Abasolo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1
2018,28 Tamaulipas,001 Abasolo,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,001 Abasolo,Sector 62 Servicios de salud y de asistencia social,3
2018,28 Tamaulipas,001 Abasolo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,35
2018,28 Tamaulipas,001 Abasolo,Sector 81 Otros servicios excepto actividades gubernamentales,70
2018,28 Tamaulipas,002 Aldama,Total municipal,972
2018,28 Tamaulipas,002 Aldama,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",58
2018,28 Tamaulipas,002 Aldama,Sector 21 Minería,1
2018,28 Tamaulipas,002 Aldama,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,002 Aldama,Sector 23 Construcción,1
2018,28 Tamaulipas,002 Aldama,Sector 31-33 Industrias manufactureras,88
2018,28 Tamaulipas,002 Aldama,Sector 43 Comercio al por mayor,30
2018,28 Tamaulipas,002 Aldama,Sector 46 Comercio al por menor,420
2018,28 Tamaulipas,002 Aldama,"Sector 48-49 Transportes, correos y almacenamiento",1
2018,28 Tamaulipas,002 Aldama,Sector 51 Información en medios masivos,4
2018,28 Tamaulipas,002 Aldama,Sector 52 Servicios financieros y de seguros,7
2018,28 Tamaulipas,002 Aldama,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,9
2018,28 Tamaulipas,002 Aldama,"Sector 54 Servicios profesionales, científicos y técnicos",13
2018,28 Tamaulipas,002 Aldama,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",9
2018,28 Tamaulipas,002 Aldama,Sector 61 Servicios educativos,5
2018,28 Tamaulipas,002 Aldama,Sector 62 Servicios de salud y de asistencia social,18
2018,28 Tamaulipas,002 Aldama,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",8
2018,28 Tamaulipas,002 Aldama,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,130
2018,28 Tamaulipas,002 Aldama,Sector 81 Otros servicios excepto actividades gubernamentales,169
2018,28 Tamaulipas,003 Altamira,Total municipal,6781
2018,28 Tamaulipas,003 Altamira,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",251
2018,28 Tamaulipas,003 Altamira,Sector 21 Minería,2
2018,28 Tamaulipas,003 Altamira,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2
2018,28 Tamaulipas,003 Altamira,Sector 23 Construcción,31
2018,28 Tamaulipas,003 Altamira,Sector 31-33 Industrias manufactureras,594
2018,28 Tamaulipas,003 Altamira,Sector 43 Comercio al por mayor,202
2018,28 Tamaulipas,003 Altamira,Sector 46 Comercio al por menor,2944
2018,28 Tamaulipas,003 Altamira,"Sector 48-49 Transportes, correos y almacenamiento",194
2018,28 Tamaulipas,003 Altamira,Sector 51 Información en medios masivos,5
2018,28 Tamaulipas,003 Altamira,Sector 52 Servicios financieros y de seguros,29
2018,28 Tamaulipas,003 Altamira,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,72
2018,28 Tamaulipas,003 Altamira,"Sector 54 Servicios profesionales, científicos y técnicos",69
2018,28 Tamaulipas,003 Altamira,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",104
2018,28 Tamaulipas,003 Altamira,Sector 61 Servicios educativos,89
2018,28 Tamaulipas,003 Altamira,Sector 62 Servicios de salud y de asistencia social,165
2018,28 Tamaulipas,003 Altamira,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",81
2018,28 Tamaulipas,003 Altamira,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,888
2018,28 Tamaulipas,003 Altamira,Sector 81 Otros servicios excepto actividades gubernamentales,1059
2018,28 Tamaulipas,004 Antiguo Morelos,Total municipal,197
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 21 Minería,1
2018,28 Tamaulipas,004 Antiguo Morelos,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 31-33 Industrias manufactureras,22
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 43 Comercio al por mayor,3
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 46 Comercio al por menor,89
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1
2018,28 Tamaulipas,004 Antiguo Morelos,"Sector 54 Servicios profesionales, científicos y técnicos",2
2018,28 Tamaulipas,004 Antiguo Morelos,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 62 Servicios de salud y de asistencia social,4
2018,28 Tamaulipas,004 Antiguo Morelos,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,37
2018,28 Tamaulipas,004 Antiguo Morelos,Sector 81 Otros servicios excepto actividades gubernamentales,33
2018,28 Tamaulipas,005 Burgos,Total municipal,98
2018,28 Tamaulipas,005 Burgos,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,005 Burgos,Sector 31-33 Industrias manufactureras,11
2018,28 Tamaulipas,005 Burgos,Sector 43 Comercio al por mayor,2
2018,28 Tamaulipas,005 Burgos,Sector 46 Comercio al por menor,55
2018,28 Tamaulipas,005 Burgos,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,005 Burgos,"Sector 54 Servicios profesionales, científicos y técnicos",1
2018,28 Tamaulipas,005 Burgos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9
2018,28 Tamaulipas,005 Burgos,Sector 81 Otros servicios excepto actividades gubernamentales,18
2018,28 Tamaulipas,006 Bustamante,Total municipal,82
2018,28 Tamaulipas,006 Bustamante,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,006 Bustamante,Sector 31-33 Industrias manufactureras,12
2018,28 Tamaulipas,006 Bustamante,Sector 43 Comercio al por mayor,3
2018,28 Tamaulipas,006 Bustamante,Sector 46 Comercio al por menor,49
2018,28 Tamaulipas,006 Bustamante,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,006 Bustamante,"Sector 54 Servicios profesionales, científicos y técnicos",1
2018,28 Tamaulipas,006 Bustamante,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1
2018,28 Tamaulipas,006 Bustamante,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,006 Bustamante,Sector 62 Servicios de salud y de asistencia social,1
2018,28 Tamaulipas,006 Bustamante,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5
2018,28 Tamaulipas,006 Bustamante,Sector 81 Otros servicios excepto actividades gubernamentales,7
2018,28 Tamaulipas,007 Camargo,Total municipal,737
2018,28 Tamaulipas,007 Camargo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",44
2018,28 Tamaulipas,007 Camargo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,007 Camargo,Sector 23 Construcción,4
2018,28 Tamaulipas,007 Camargo,Sector 31-33 Industrias manufactureras,59
2018,28 Tamaulipas,007 Camargo,Sector 43 Comercio al por mayor,10
2018,28 Tamaulipas,007 Camargo,Sector 46 Comercio al por menor,271
2018,28 Tamaulipas,007 Camargo,"Sector 48-49 Transportes, correos y almacenamiento",6
2018,28 Tamaulipas,007 Camargo,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,007 Camargo,Sector 52 Servicios financieros y de seguros,8
2018,28 Tamaulipas,007 Camargo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,10
2018,28 Tamaulipas,007 Camargo,"Sector 54 Servicios profesionales, científicos y técnicos",12
2018,28 Tamaulipas,007 Camargo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",7
2018,28 Tamaulipas,007 Camargo,Sector 61 Servicios educativos,3
2018,28 Tamaulipas,007 Camargo,Sector 62 Servicios de salud y de asistencia social,45
2018,28 Tamaulipas,007 Camargo,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3
2018,28 Tamaulipas,007 Camargo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,106
2018,28 Tamaulipas,007 Camargo,Sector 81 Otros servicios excepto actividades gubernamentales,147
2018,28 Tamaulipas,008 Casas,Total municipal,24
2018,28 Tamaulipas,008 Casas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1
2018,28 Tamaulipas,008 Casas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,008 Casas,Sector 43 Comercio al por mayor,1
2018,28 Tamaulipas,008 Casas,Sector 46 Comercio al por menor,16
2018,28 Tamaulipas,008 Casas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1
2018,28 Tamaulipas,008 Casas,Sector 81 Otros servicios excepto actividades gubernamentales,4
2018,28 Tamaulipas,009 Ciudad Madero,Total municipal,6020
2018,28 Tamaulipas,009 Ciudad Madero,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",17
2018,28 Tamaulipas,009 Ciudad Madero,Sector 23 Construcción,60
2018,28 Tamaulipas,009 Ciudad Madero,Sector 31-33 Industrias manufactureras,435
2018,28 Tamaulipas,009 Ciudad Madero,Sector 43 Comercio al por mayor,116
2018,28 Tamaulipas,009 Ciudad Madero,Sector 46 Comercio al por menor,2191
2018,28 Tamaulipas,009 Ciudad Madero,"Sector 48-49 Transportes, correos y almacenamiento",37
2018,28 Tamaulipas,009 Ciudad Madero,Sector 51 Información en medios masivos,7
2018,28 Tamaulipas,009 Ciudad Madero,Sector 52 Servicios financieros y de seguros,51
2018,28 Tamaulipas,009 Ciudad Madero,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,95
2018,28 Tamaulipas,009 Ciudad Madero,"Sector 54 Servicios profesionales, científicos y técnicos",118
2018,28 Tamaulipas,009 Ciudad Madero,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",78
2018,28 Tamaulipas,009 Ciudad Madero,Sector 61 Servicios educativos,181
2018,28 Tamaulipas,009 Ciudad Madero,Sector 62 Servicios de salud y de asistencia social,375
2018,28 Tamaulipas,009 Ciudad Madero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",109
2018,28 Tamaulipas,009 Ciudad Madero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1017
2018,28 Tamaulipas,009 Ciudad Madero,Sector 81 Otros servicios excepto actividades gubernamentales,1133
2018,28 Tamaulipas,010 Cruillas,Total municipal,39
2018,28 Tamaulipas,010 Cruillas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,010 Cruillas,Sector 31-33 Industrias manufactureras,2
2018,28 Tamaulipas,010 Cruillas,Sector 43 Comercio al por mayor,3
2018,28 Tamaulipas,010 Cruillas,Sector 46 Comercio al por menor,24
2018,28 Tamaulipas,010 Cruillas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3
2018,28 Tamaulipas,010 Cruillas,Sector 81 Otros servicios excepto actividades gubernamentales,6
2018,28 Tamaulipas,011 Gómez Farías,Total municipal,118
2018,28 Tamaulipas,011 Gómez Farías,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1
2018,28 Tamaulipas,011 Gómez Farías,Sector 31-33 Industrias manufactureras,17
2018,28 Tamaulipas,011 Gómez Farías,Sector 43 Comercio al por mayor,1
2018,28 Tamaulipas,011 Gómez Farías,Sector 46 Comercio al por menor,54
2018,28 Tamaulipas,011 Gómez Farías,"Sector 48-49 Transportes, correos y almacenamiento",1
2018,28 Tamaulipas,011 Gómez Farías,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,011 Gómez Farías,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1
2018,28 Tamaulipas,011 Gómez Farías,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2
2018,28 Tamaulipas,011 Gómez Farías,Sector 62 Servicios de salud y de asistencia social,2
2018,28 Tamaulipas,011 Gómez Farías,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2018,28 Tamaulipas,011 Gómez Farías,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,26
2018,28 Tamaulipas,011 Gómez Farías,Sector 81 Otros servicios excepto actividades gubernamentales,11
2018,28 Tamaulipas,012 González,Total municipal,1619
2018,28 Tamaulipas,012 González,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",37
2018,28 Tamaulipas,012 González,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2
2018,28 Tamaulipas,012 González,Sector 31-33 Industrias manufactureras,129
2018,28 Tamaulipas,012 González,Sector 43 Comercio al por mayor,61
2018,28 Tamaulipas,012 González,Sector 46 Comercio al por menor,824
2018,28 Tamaulipas,012 González,"Sector 48-49 Transportes, correos y almacenamiento",3
2018,28 Tamaulipas,012 González,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,012 González,Sector 52 Servicios financieros y de seguros,2
2018,28 Tamaulipas,012 González,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,9
2018,28 Tamaulipas,012 González,"Sector 54 Servicios profesionales, científicos y técnicos",27
2018,28 Tamaulipas,012 González,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",8
2018,28 Tamaulipas,012 González,Sector 61 Servicios educativos,6
2018,28 Tamaulipas,012 González,Sector 62 Servicios de salud y de asistencia social,34
2018,28 Tamaulipas,012 González,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",15
2018,28 Tamaulipas,012 González,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,208
2018,28 Tamaulipas,012 González,Sector 81 Otros servicios excepto actividades gubernamentales,253
2018,28 Tamaulipas,013 Güémez,Total municipal,73
2018,28 Tamaulipas,013 Güémez,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2
2018,28 Tamaulipas,013 Güémez,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2
2018,28 Tamaulipas,013 Güémez,Sector 31-33 Industrias manufactureras,8
2018,28 Tamaulipas,013 Güémez,Sector 43 Comercio al por mayor,4
2018,28 Tamaulipas,013 Güémez,Sector 46 Comercio al por menor,37
2018,28 Tamaulipas,013 Güémez,"Sector 48-49 Transportes, correos y almacenamiento",2
2018,28 Tamaulipas,013 Güémez,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,10
2018,28 Tamaulipas,013 Güémez,Sector 81 Otros servicios excepto actividades gubernamentales,8
2018,28 Tamaulipas,014 Guerrero,Total municipal,174
2018,28 Tamaulipas,014 Guerrero,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",41
2018,28 Tamaulipas,014 Guerrero,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,014 Guerrero,Sector 23 Construcción,1
2018,28 Tamaulipas,014 Guerrero,Sector 31-33 Industrias manufactureras,12
2018,28 Tamaulipas,014 Guerrero,Sector 43 Comercio al por mayor,6
2018,28 Tamaulipas,014 Guerrero,Sector 46 Comercio al por menor,50
2018,28 Tamaulipas,014 Guerrero,Sector 62 Servicios de salud y de asistencia social,6
2018,28 Tamaulipas,014 Guerrero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2018,28 Tamaulipas,014 Guerrero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,25
2018,28 Tamaulipas,014 Guerrero,Sector 81 Otros servicios excepto actividades gubernamentales,31
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Total municipal,719
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 31-33 Industrias manufactureras,49
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 43 Comercio al por mayor,21
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 46 Comercio al por menor,288
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 48-49 Transportes, correos y almacenamiento",4
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 52 Servicios financieros y de seguros,10
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,21
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 54 Servicios profesionales, científicos y técnicos",19
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",6
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 61 Servicios educativos,5
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 62 Servicios de salud y de asistencia social,18
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",14
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,107
2018,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 81 Otros servicios excepto actividades gubernamentales,155
2018,28 Tamaulipas,016 Hidalgo,Total municipal,392
2018,28 Tamaulipas,016 Hidalgo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",7
2018,28 Tamaulipas,016 Hidalgo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,016 Hidalgo,Sector 31-33 Industrias manufactureras,35
2018,28 Tamaulipas,016 Hidalgo,Sector 43 Comercio al por mayor,16
2018,28 Tamaulipas,016 Hidalgo,Sector 46 Comercio al por menor,187
2018,28 Tamaulipas,016 Hidalgo,"Sector 48-49 Transportes, correos y almacenamiento",1
2018,28 Tamaulipas,016 Hidalgo,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,016 Hidalgo,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,016 Hidalgo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1
2018,28 Tamaulipas,016 Hidalgo,"Sector 54 Servicios profesionales, científicos y técnicos",2
2018,28 Tamaulipas,016 Hidalgo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2
2018,28 Tamaulipas,016 Hidalgo,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,016 Hidalgo,Sector 62 Servicios de salud y de asistencia social,14
2018,28 Tamaulipas,016 Hidalgo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,59
2018,28 Tamaulipas,016 Hidalgo,Sector 81 Otros servicios excepto actividades gubernamentales,64
2018,28 Tamaulipas,017 Jaumave,Total municipal,415
2018,28 Tamaulipas,017 Jaumave,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,017 Jaumave,Sector 31-33 Industrias manufactureras,54
2018,28 Tamaulipas,017 Jaumave,Sector 43 Comercio al por mayor,10
2018,28 Tamaulipas,017 Jaumave,Sector 46 Comercio al por menor,191
2018,28 Tamaulipas,017 Jaumave,"Sector 48-49 Transportes, correos y almacenamiento",1
2018,28 Tamaulipas,017 Jaumave,Sector 51 Información en medios masivos,1
2018,28 Tamaulipas,017 Jaumave,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8
2018,28 Tamaulipas,017 Jaumave,"Sector 54 Servicios profesionales, científicos y técnicos",2
2018,28 Tamaulipas,017 Jaumave,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1
2018,28 Tamaulipas,017 Jaumave,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,017 Jaumave,Sector 62 Servicios de salud y de asistencia social,4
2018,28 Tamaulipas,017 Jaumave,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3
2018,28 Tamaulipas,017 Jaumave,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,82
2018,28 Tamaulipas,017 Jaumave,Sector 81 Otros servicios excepto actividades gubernamentales,56
2018,28 Tamaulipas,018 Jiménez,Total municipal,211
2018,28 Tamaulipas,018 Jiménez,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,018 Jiménez,Sector 31-33 Industrias manufactureras,21
2018,28 Tamaulipas,018 Jiménez,Sector 43 Comercio al por mayor,5
2018,28 Tamaulipas,018 Jiménez,Sector 46 Comercio al por menor,110
2018,28 Tamaulipas,018 Jiménez,"Sector 48-49 Transportes, correos y almacenamiento",1
2018,28 Tamaulipas,018 Jiménez,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,018 Jiménez,"Sector 54 Servicios profesionales, científicos y técnicos",1
2018,28 Tamaulipas,018 Jiménez,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,018 Jiménez,Sector 62 Servicios de salud y de asistencia social,1
2018,28 Tamaulipas,018 Jiménez,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,26
2018,28 Tamaulipas,018 Jiménez,Sector 81 Otros servicios excepto actividades gubernamentales,43
2018,28 Tamaulipas,019 Llera,Total municipal,275
2018,28 Tamaulipas,019 Llera,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,019 Llera,Sector 31-33 Industrias manufactureras,30
2018,28 Tamaulipas,019 Llera,Sector 43 Comercio al por mayor,8
2018,28 Tamaulipas,019 Llera,Sector 46 Comercio al por menor,129
2018,28 Tamaulipas,019 Llera,Sector 52 Servicios financieros y de seguros,1
2018,28 Tamaulipas,019 Llera,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5
2018,28 Tamaulipas,019 Llera,"Sector 54 Servicios profesionales, científicos y técnicos",4
2018,28 Tamaulipas,019 Llera,Sector 61 Servicios educativos,1
2018,28 Tamaulipas,019 Llera,Sector 62 Servicios de salud y de asistencia social,7
2018,28 Tamaulipas,019 Llera,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3
2018,28 Tamaulipas,019 Llera,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,36
2018,28 Tamaulipas,019 Llera,Sector 81 Otros servicios excepto actividades gubernamentales,50
2018,28 Tamaulipas,020 Mainero,Total municipal,19
2018,28 Tamaulipas,020 Mainero,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,020 Mainero,Sector 31-33 Industrias manufactureras,1
2018,28 Tamaulipas,020 Mainero,Sector 46 Comercio al por menor,9
2018,28 Tamaulipas,020 Mainero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2018,28 Tamaulipas,020 Mainero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5
2018,28 Tamaulipas,020 Mainero,Sector 81 Otros servicios excepto actividades gubernamentales,2
2018,28 Tamaulipas,021 El Mante,Total municipal,4254
2018,28 Tamaulipas,021 El Mante,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",16
2018,28 Tamaulipas,021 El Mante,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2018,28 Tamaulipas,021 El Mante,Sector 23 Construcción,11
2018,28 Tamaulipas,021 El Mante,Sector 31-33 Industrias manufactureras,359
2018,28 Tamaulipas,021 El Mante,Sector 43 Comercio al por mayor,114
2018,28 Tamaulipas,021 El Mante,Sector 46 Comercio al por menor,1802
2018,28 Tamaulipas,021 El Mante,"Sector 48-49 Transportes, correos y almacenamiento",27
2018,28 Tamaulipas,021 El Mante,Sector 51 Información en medios masivos,13
2018,28 Tamaulipas,021 El Mante,Sector 52 Servicios financieros y de seguros,22
2018,28 Tamaulipas,021 El Mante,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,58
2018,28 Tamaulipas,021 El Mante,"Sector 54 Servicios profesionales, científicos y técnicos",120
2018,28 Tamaulipas,021 El Mante,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",44
2018,28 Tamaulipas,021 El Mante,Sector 61 Servicios educativos,47
2018,28 Tamaulipas,021 El Mante,Sector 62 Servicios de salud y de asistencia social,185
2018,28 Tamaulipas,021 El Mante,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",48
2018,28 Tamaulipas,021 El Mante,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,633
2018,28 Tamaulipas,021 El Mante,Sector 81 Otros servicios excepto actividades gubernamentales,754
2018,28 Tamaulipas,022 Matamoros,Total municipal,17736
2018,28 Tamaulipas,022 Matamoros,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",52
