Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",61.76,110.05,65.53,51.86
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,83.44
Construcción,138.16,129.49,169.22,107.97
Industrias manufactureras,72.09,84.06,83.24,85.55
Comercio al por mayor,112.15,155.4,126.08,123.94
Comercio al por menor,130.14,163.74,185.73,163.25
"Transportes, correos y almacenamiento",140.15,212.88,157.22,124.3
Información en medios masivos,92.3,1825.02,304.2,
Servicios financieros y de seguros,138.81,101.38,149.33,122.2
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,133.64,194.68,105.31,98.22
"Servicios profesionales, científicos y técnicos",104.12,253.53,114.68,128.21
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",125.35,162.14,111.01,163.93
Servicios educativos,75.29,135.51,135.1,105.6
Servicios de salud y de asistencia social,146.14,170.29,138.51,131.1
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",85.68,192.41,86.48,89.9
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,135.84,187.57,152.1,148.54
Otros servicios excepto actividades gubernamentales,148.54,219.94,199.22,159.19
Total,100.0,100.0,100.0,100.0
