Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",239.42,52.07,35.74,62.32
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,19.3,18.64,18.7,28.26
Industrias manufactureras,431.08,226.98,475.65,420.07
Comercio al por mayor,33.64,23.37,24.34,25.88
Comercio al por menor,30.72,26.43,20.94,34.32
"Transportes, correos y almacenamiento",72.59,43.34,44.13,54.72
Información en medios masivos,10.38,25.61,40.85,36.78
Servicios financieros y de seguros,51.22,34.88,26.41,41.02
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,82.51,72.84,94.22,61.15
"Servicios profesionales, científicos y técnicos",39.65,93.82,39.75,31.96
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",90.82,50.37,60.59,50.09
Servicios educativos,59.16,29.01,36.46,32.78
Servicios de salud y de asistencia social,47.47,54.4,33.45,34.46
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",33.81,52.67,19.88,30.04
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,36.71,29.71,22.79,30.26
Otros servicios excepto actividades gubernamentales,16.6,38.35,28.44,38.76
Total,100.0,100.0,100.0,100.0
