Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.05,2.62,0.04,0.03
Minería,59.93,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",7.27,14.64,0.6,3.7
Construcción,1.56,4.87,0.24,0.38
Industrias manufactureras,12.98,262.86,66.23,43.16
Comercio al por mayor,1.47,19.94,9.92,6.17
Comercio al por menor,4.87,-382.5,10.86,12.75
"Transportes, correos y almacenamiento",6.37,133.58,4.75,26.54
Información en medios masivos,3.01,0.17,3.24,0.17
Servicios financieros y de seguros,0.09,0.5,0.11,0.4
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.22,2.77,0.47,0.92
"Servicios profesionales, científicos y técnicos",0.33,2.56,0.23,0.12
Dirección y administración de grupos empresariales o corporativos,0.01,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.17,3.25,0.49,1.05
Servicios educativos,0.52,14.84,0.33,1.13
Servicios de salud y de asistencia social,0.3,5.06,0.62,1.22
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.05,2.07,0.15,0.63
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.39,6.36,1.02,0.87
Otros servicios excepto actividades gubernamentales,0.4,6.4,0.68,0.76
Total,100.0,100.0,100.0,100.0
