Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.04,0.04,0.02,-0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,4.51,0.29,0.0,0.0
Industrias manufactureras,31.33,5.77,12.23,43.38
Comercio al por mayor,18.5,13.94,27.41,13.23
Comercio al por menor,27.49,23.42,56.3,9.04
"Transportes, correos y almacenamiento",6.91,30.77,-0.88,30.48
Información en medios masivos,2.63,0.0,0.02,0.0
Servicios financieros y de seguros,0.08,1.5,0.44,0.42
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.4,0.54,-1.83,0.03
"Servicios profesionales, científicos y técnicos",0.28,0.61,0.16,0.15
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.74,1.26,-10.53,0.27
Servicios educativos,0.06,6.95,0.37,0.01
Servicios de salud y de asistencia social,0.83,4.62,1.8,0.47
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.77,1.75,0.09,0.02
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.95,3.32,6.38,1.1
Otros servicios excepto actividades gubernamentales,2.47,5.2,8.02,1.39
Total,100.0,100.0,100.0,100.0
