Año Censal,Entidad,Actividad económica,Q000A Acervo total de activos fijos (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),A211A Inversión total (millones de pesos),A121A Consumo intermedio (millones de pesos),H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos)
2018,00 Total Nacional,Sector 43 Comercio al por mayor,1271578.543,101721.134,215863.892,372093.743,1582933,1249588.761,877495.018
2018,00 Total Nacional,Sector 46 Comercio al por menor,963447.006,28107.035,36431.968,515781.217,5899054,1771094.058,1255312.841
2018,00 Total Nacional,"Sector 48-49 Transportes, correos y almacenamiento",592882.712,23825.722,23480.511,439220.563,997000,795802.764,356582.201
2018,00 Total Nacional,Sector 51 Información en medios masivos,853372.66,139516.812,140455.793,427993.806,363805,624262.387,196268.581
2018,00 Total Nacional,Sector 52 Servicios financieros y de seguros,177786.445,22081.933,22438.874,477934.561,662239,1339955.582,862021.021
2018,00 Total Nacional,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,164902.229,6282.974,6691.348,94418.408,327129,206870.702,112452.294
2018,00 Total Nacional,"Sector 54 Servicios profesionales, científicos y técnicos",102973.896,4893.635,2654.031,115470.836,848651,298277.307,182806.471
2018,00 Total Nacional,Sector 55 Dirección y administración de grupos empresariales o corporativos,86950.504,6529.517,6559.573,97256.177,138987,498740.801,401484.624
2018,00 Total Nacional,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",100995.821,5656.71,5764.917,216473.362,2407276,682060.207,465586.845
2018,00 Total Nacional,Sector 61 Servicios educativos,128405.151,6197.301,6183.685,64713.572,817536,201307.675,136594.103
2018,00 Total Nacional,Sector 62 Servicios de salud y de asistencia social,113043.518,4762.503,4829.876,101027.36,763881,184679.974,83652.614
2018,00 Total Nacional,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",95390.316,2160.592,2381.034,62924.035,267775,114581.086,51657.051
2018,00 Total Nacional,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,411233.586,14826.86,14941.058,411495.301,2668898,712316.408,300821.107
2018,00 Total Nacional,Sector 81 Otros servicios excepto actividades gubernamentales,162204.978,6245.526,6381.763,140782.442,1577903,281248.638,140466.196
2018,28 Tamaulipas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",756.987,7.97,7.92,931.693,6948,1803.219,871.526
2018,28 Tamaulipas,Sector 21 Minería,,,,,,,
2018,28 Tamaulipas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",7079.6,109.666,110.786,3073.926,5972,5574.368,2500.442
2018,28 Tamaulipas,Sector 23 Construcción,3302.296,44.795,40.309,7433.774,17846,11894.567,4460.793
2018,28 Tamaulipas,Sector 31-33 Industrias manufactureras,95927.72,12172.824,12245.686,252416.81,323720,369691.382,117274.572
2018,28 Tamaulipas,Sector 43 Comercio al por mayor,13418.205,1822.578,1401.057,6281.601,32014,29393.112,23111.511
2018,28 Tamaulipas,Sector 46 Comercio al por menor,34237.037,1996.167,2105.828,16975.727,153444,58086.3,41110.573
2018,28 Tamaulipas,"Sector 48-49 Transportes, correos y almacenamiento",31769.652,872.21,842.441,16164.073,52764,32921.02,16756.947
2018,28 Tamaulipas,Sector 51 Información en medios masivos,1842.055,594.934,594.127,3232.569,7413,7825.736,4593.167
2018,28 Tamaulipas,Sector 52 Servicios financieros y de seguros,438.589,21.092,21.942,1936.323,6410,2860.975,924.652
2018,28 Tamaulipas,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3162.69,87.09,89.352,1272.911,6685,2812.837,1539.926
2018,28 Tamaulipas,"Sector 54 Servicios profesionales, científicos y técnicos",1383.162,43.141,42.842,1345.755,12862,3584.638,2238.883
2018,28 Tamaulipas,Sector 55 Dirección y administración de grupos empresariales o corporativos,,,,,,,
2018,28 Tamaulipas,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2086.221,90.027,87.827,3438.706,30926,10524.495,7085.789
2018,28 Tamaulipas,Sector 61 Servicios educativos,3594.093,60.759,59.525,2098.043,24747,5991.044,3893.001
2018,28 Tamaulipas,Sector 62 Servicios de salud y de asistencia social,2968.356,114.574,115.926,2413.557,20148,4692.46,2278.903
2018,28 Tamaulipas,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1475.02,28.218,29.198,393.366,4638,951.789,558.423
2018,28 Tamaulipas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6432.823,187.685,191.238,8734.941,58235,15092.473,6357.532
2018,28 Tamaulipas,Sector 81 Otros servicios excepto actividades gubernamentales,4421.209,125.289,122.397,4078.46,49132,8710.349,4631.889
2013,00 Total Nacional,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",18501.064,622.141,618.621,11958.161,188566,24682.819,12724.658
2013,00 Total Nacional,Sector 21 Minería,1125854.772,196249.667,196788.299,222088.162,166548,1227609.704,1005521.542
2013,00 Total Nacional,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1837797.575,24149.53,25319.751,194600.844,220929,453127.127,258526.283
2013,00 Total Nacional,Sector 23 Construcción,85834.351,4564.675,5673.818,239082.711,569856,346727.279,107644.568
2013,00 Total Nacional,Sector 31-33 Industrias manufactureras,2154257.963,144042.105,121681.508,5009666.247,5073432,6745772.046,1736105.799
2013,00 Total Nacional,Sector 43 Comercio al por mayor,244477.178,14202.363,26488.859,253735.112,1286393,638651.702,384916.59
2013,00 Total Nacional,Sector 46 Comercio al por menor,567201.742,23696.616,36923.732,310652.75,5103255,855006.161,544353.411
2013,00 Total Nacional,"Sector 48-49 Transportes, correos y almacenamiento",706934.114,30666.167,31212.741,307497.393,772333,500002.466,192505.073
2013,00 Total Nacional,Sector 51 Información en medios masivos,301733.759,21427.265,24680.102,378376.467,287617,541876.58,163500.113
2013,00 Total Nacional,Sector 52 Servicios financieros y de seguros,119705.034,16879.319,16919.091,268000.9,478776,837013.807,569012.907
2013,00 Total Nacional,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,71329.003,3041.081,3277.292,50668.375,251970,90947.381,40279.006
2013,00 Total Nacional,"Sector 54 Servicios profesionales, científicos y técnicos",50004.217,3452.265,3421.924,87307.11,606396,166302.976,78995.866
2013,00 Total Nacional,Sector 55 Dirección y administración de grupos empresariales o corporativos,84393.351,6292.808,6417.394,84733.204,42758,341749.581,257016.377
2013,00 Total Nacional,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",104807.792,25485.441,25513.444,107880.485,1714385,347243.812,239363.327
2013,00 Total Nacional,Sector 61 Servicios educativos,77079.911,5661.121,5617.87,54053.219,759871,140312.838,86259.619
2013,00 Total Nacional,Sector 62 Servicios de salud y de asistencia social,75331.553,5247.528,5219.261,59395.388,614147,109142.914,49747.526
2013,00 Total Nacional,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",69677.72,3223.107,3262.757,37981.446,231579,64803.211,26821.765
2013,00 Total Nacional,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,271767.964,7373.254,7276.714,230984.628,1943437,366225.584,135240.956
2013,00 Total Nacional,Sector 81 Otros servicios excepto actividades gubernamentales,106037.406,4273.663,4547.619,91064.225,1264110,187115.23,96051.005
2013,28 Tamaulipas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",657.083,47.703,47.703,253.585,6141,523.232,269.647
2013,28 Tamaulipas,Sector 21 Minería,,,,,,,
2013,28 Tamaulipas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",5167.394,266.171,269.125,707.159,6027,3093.55,2386.391
2013,28 Tamaulipas,Sector 23 Construcción,3470.158,88.483,72.833,5720.102,18993,8880.093,3159.991
2013,28 Tamaulipas,Sector 31-33 Industrias manufactureras,97495.394,4779.24,3605.655,204276.796,233488,273028.104,68751.308
2013,28 Tamaulipas,Sector 43 Comercio al por mayor,7075.31,362.62,547.909,5225.092,31309,14429.135,9204.043
2013,28 Tamaulipas,Sector 46 Comercio al por menor,17263.234,-6954.435,-6332.931,9966.361,140266,28071.414,18105.053
2013,28 Tamaulipas,"Sector 48-49 Transportes, correos y almacenamiento",28128.609,2428.77,2501.516,13136.811,39845,23768.457,10631.646
2013,28 Tamaulipas,Sector 51 Información en medios masivos,808.92,3.17,-9.899,1266.528,5351,2702.26,1435.732
2013,28 Tamaulipas,Sector 52 Servicios financieros y de seguros,188.525,9.018,7.437,405.414,3284,1315.937,910.523
2013,28 Tamaulipas,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1645.143,50.416,50.292,1173.595,6600,2021.337,847.742
2013,28 Tamaulipas,"Sector 54 Servicios profesionales, científicos y técnicos",1590.364,46.518,42.96,2559.136,11289,3774.911,1215.775
2013,28 Tamaulipas,Sector 55 Dirección y administración de grupos empresariales o corporativos,,,,,,,
2013,28 Tamaulipas,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2745.437,59.029,61.579,2149.334,30234,6081.492,3932.158
2013,28 Tamaulipas,Sector 61 Servicios educativos,2872.49,269.771,268.559,1370.945,22744,4728.477,3357.532
2013,28 Tamaulipas,Sector 62 Servicios de salud y de asistencia social,1817.903,91.989,96.265,1233.337,16916,2596.282,1362.945
