Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1687.94,0.07,308.86,36.27
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,990.05
Construcción,125.63,6.1,146.67,381.45
Industrias manufactureras,632.01,2.31,50.56,89.31
Comercio al por mayor,742.64,2.23,58.38,6.11
Comercio al por menor,355.76,0.02,14.79,56.85
"Transportes, correos y almacenamiento",534.28,0.75,70.53,9.9
Información en medios masivos,996.55,24.17,35.07,
Servicios financieros y de seguros,25487.07,28.05,2023.63,1078.99
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,977.6,3.46,83.69,113.62
"Servicios profesionales, científicos y técnicos",382.99,2.63,74.82,458.79
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",128.5,25.06,49.24,106.85
Servicios educativos,818.94,0.88,281.13,282.15
Servicios de salud y de asistencia social,814.92,2.37,32.98,66.54
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",5661.72,6.59,221.72,95.61
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2291.83,3.11,95.96,270.71
Otros servicios excepto actividades gubernamentales,445.06,1.38,45.74,92.66
Total,100.0,100.0,100.0,100.0
