Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2413.97,3470.94,588.85,208.05
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,166.22,85.57
Industrias manufactureras,18.57,37.14,18.4,23.5
Comercio al por mayor,778.04,216.73,982.93,262.93
Comercio al por menor,1000.25,522.22,399.74,460.67
"Transportes, correos y almacenamiento",262.67,68.02,115.01,53.01
Información en medios masivos,51.77,654.15,,
Servicios financieros y de seguros,38721.04,21881.48,5133.53,3393.75
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,958.22,315.21,236.44,205.12
"Servicios profesionales, científicos y técnicos",423.12,118.32,682.24,348.21
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",94.71,60.85,87.8,28.86
Servicios educativos,815.13,57.43,60.8,25.55
Servicios de salud y de asistencia social,1721.66,1145.24,488.13,186.59
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1913.52,474.41,893.1,255.25
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1482.74,989.81,790.47,359.68
Otros servicios excepto actividades gubernamentales,1527.47,1494.46,544.4,253.89
Total,100.0,100.0,100.0,100.0
