Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1185.54,1121.31,217.28,185.62
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,29.49,26.98
Industrias manufactureras,37.79,14.71,15.91,8.85
Comercio al por mayor,246.25,99.01,99.24,205.86
Comercio al por menor,318.31,222.02,221.53,259.14
"Transportes, correos y almacenamiento",136.82,28.56,29.78,28.47
Información en medios masivos,10.28,91.94,,
Servicios financieros y de seguros,15308.55,3434.79,8943.2,12794.95
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,271.81,252.42,179.7,75.93
"Servicios profesionales, científicos y técnicos",129.32,186.02,254.96,385.56
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",8.11,24.3,11.54,5.95
Servicios educativos,82.24,17.43,61.24,27.13
Servicios de salud y de asistencia social,524.11,228.58,236.8,172.06
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",294.34,111.68,170.98,160.52
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,465.54,225.71,312.44,224.48
Otros servicios excepto actividades gubernamentales,1324.03,275.19,198.65,187.92
Total,100.0,100.0,100.0,100.0
