Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.54,0.21,0.18,0.12
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,3.08,1.2,0.0,0.28
Industrias manufactureras,37.91,45.11,33.06,24.86
Comercio al por mayor,16.91,15.32,17.35,23.85
Comercio al por menor,21.24,16.63,21.53,26.57
"Transportes, correos y almacenamiento",3.75,7.95,4.55,5.76
Información en medios masivos,0.79,0.04,0.59,0.42
Servicios financieros y de seguros,0.88,0.4,0.92,1.03
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.26,0.21,0.21,0.35
"Servicios profesionales, científicos y técnicos",0.91,0.68,0.55,0.65
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.64,0.63,3.73,0.68
Servicios educativos,0.86,2.24,7.99,0.98
Servicios de salud y de asistencia social,0.93,0.87,0.91,1.64
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.42,0.21,0.11,0.24
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.77,4.89,4.8,8.98
Otros servicios excepto actividades gubernamentales,4.11,3.41,3.52,3.59
Total,100.0,100.0,100.0,100.0
