Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",5.09,9.33,25.27,35.95
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,338.68,518.04
Industrias manufactureras,203.96,380.6,411.82,745.11
Comercio al por mayor,46.71,93.67,92.04,61.27
Comercio al por menor,25.81,30.03,33.16,31.32
"Transportes, correos y almacenamiento",47.85,140.57,171.89,165.04
Información en medios masivos,1121.46,274.67,,
Servicios financieros y de seguros,35.19,40.35,25.08,16.58
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,40.43,41.74,97.76,155.23
"Servicios profesionales, científicos y técnicos",82.25,77.46,77.04,44.68
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1597.93,555.44,1369.69,2783.68
Servicios educativos,153.89,326.81,137.84,359.67
Servicios de salud y de asistencia social,19.64,35.41,37.29,50.36
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",61.67,102.51,130.16,128.09
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,21.47,37.1,36.43,44.75
Otros servicios excepto actividades gubernamentales,13.2,25.44,36.73,40.34
Total,100.0,100.0,100.0,100.0
