Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,74.56,113.05,63.28,42.62
Industrias manufactureras,249.43,205.8,184.43,147.04
Comercio al por mayor,34.51,57.48,63.62,99.6
Comercio al por menor,28.02,47.62,51.69,73.35
"Transportes, correos y almacenamiento",7.63,15.38,17.18,32.54
Información en medios masivos,,42.83,,73.99
Servicios financieros y de seguros,35.09,55.21,67.19,93.43
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,21.66,36.33,125.25,67.16
"Servicios profesionales, científicos y técnicos",63.64,120.09,77.56,110.28
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",46.71,91.95,62.48,123.05
Servicios educativos,40.82,59.88,119.27,129.02
Servicios de salud y de asistencia social,31.49,46.77,60.7,91.35
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",76.88,10.56,74.96,100.42
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,30.66,41.73,43.16,70.85
Otros servicios excepto actividades gubernamentales,50.35,48.14,44.53,69.85
Total,100.0,100.0,100.0,100.0
