Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",42.41,291.3,201.55,79.8
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,663.59,721.24,674.89,538.61
Industrias manufactureras,18.94,34.75,17.21,20.92
Comercio al por mayor,505.1,668.48,661.15,524.56
Comercio al por menor,407.89,379.39,394.21,224.44
"Transportes, correos y almacenamiento",215.96,173.71,167.29,94.96
Información en medios masivos,1534.51,3752.7,880.6,1272.2
Servicios financieros y de seguros,6188.82,6096.22,2539.19,1517.11
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,151.24,190.66,213.88,310.72
"Servicios profesionales, científicos y técnicos",463.87,116.97,586.5,530.92
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",273.94,320.53,282.27,353.82
Servicios educativos,320.34,437.09,229.86,301.2
Servicios de salud y de asistencia social,368.44,284.75,340.0,239.94
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1196.96,522.42,2186.49,668.65
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,493.73,492.94,561.65,310.26
Otros servicios excepto actividades gubernamentales,802.33,324.52,329.75,209.5
Total,100.0,100.0,100.0,100.0
