Actividad económica,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.3,4.916,0.39699999999999996,1.214,0.0,0.0,0.0,0.0,0.044,0.048999999999999995,0.015,-0.002,0.356,35.153,0.014,0.0,0.0,0.0,0.059,0.0,2.3560000000000003,0.89,0.02,2.762,6.0009999999999994,1.864,7.007,0.121
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.823
Construcción,-26.037,2.959,-0.677,-9.867,2.754,0.957,28.748,1.468,5.439,0.372,0.0,0.0,49.327,4.917,4.976,2.6470000000000002,270.359,1.475,-31.573,13.492,0.0,0.0,-0.27,0.81,41.311,73.815,30.281,21.316
Industrias manufactureras,26.544,34.605,51.961,62.155,219.738,406.925,376.225,1162.209,37.754000000000005,7.352,10.82,178.926,592.1389999999999,819.549,841.858,777.729,716.7810000000001,924.5600000000001,1093.3890000000001,1850.633,2.156,2.5380000000000003,10.051,2.104,1266.4769999999999,2583.674,9788.52,1493.7569999999998
Comercio al por mayor,30.142,63.007999999999996,254.113,251.13199999999998,19.596,35.611,254.623,74.147,22.294,17.753999999999998,24.256,54.558,72.219,45.552,484.876,93.217,42.076,54.32899999999999,302.636,148.16400000000002,12.267000000000001,0.6000000000000001,8.006,8.124,124.47800000000001,145.71699999999998,493.195,160.992
Comercio al por menor,127.075,117.546,163.31400000000002,246.249,185.941,-2431.708,217.427,199.509,33.132,29.819000000000003,49.811,37.289,192.86499999999998,-2195.901,283.96700000000004,235.76600000000002,213.60000000000002,-2718.1079999999997,711.576,396.565,28.149,8.543,27.786,-11.684000000000001,293.057,235.374,542.2860000000001,528.4639999999999
"Transportes, correos y almacenamiento",222.169,523.953,33.527,818.266,434.18,468.794,102.522,906.794,8.329,39.189,-0.783,125.717,158.368,46.877,40.112,293.658,111.212,306.803,113.238,722.9390000000001,1.021,0.015,1.274,0.0,363.201,1020.816,582.5500000000001,436.366
Información en medios masivos,385.773,16.69,8.768,3.124,0.0,1.625,0.0,0.726,3.174,0.0,0.019,0.0,7.8950000000000005,-0.936,15.269,5.345,36.826,-3.999,538.706,3.862,0.447,0.01,0.0,0.0,220.785,0.08,23.012999999999998,0.0
Servicios financieros y de seguros,0.672,0.437,1.637,20.378,0.463,0.873,1.445,3.777,0.091,1.904,0.393,1.742,0.366,2.585,3.798,2.605,0.737,2.203,3.1279999999999997,1.655,0.0,0.09000000000000001,0.113,5.456,16.499000000000002,0.954,10.546,15.873000000000001
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.529,11.448,-1.314,3.539,2.682,-1.607,12.039,14.215,0.48000000000000004,0.6920000000000001,-1.619,0.127,2.363,9.382000000000001,7.595000000000001,23.765,27.145999999999997,9.783000000000001,43.524,40.407000000000004,0.235,0.094,0.496,-0.6019999999999999,12.528,20.427,26.134,35.113
"Servicios profesionales, científicos y técnicos",9.280999999999999,4.627,2.045,1.925,0.658,2.74,5.861,-4.103,0.342,0.781,0.144,0.636,2.876,13.126,2.488,2.854,42.985,13.411,23.894,4.923,0.97,0.22900000000000004,0.6479999999999999,-4.631,16.023,11.616,7.361000000000001,13.357000000000001
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.6390000000000002,2.3619999999999997,14.456,6.707,5.951,15.968,10.59,45.01,2.099,1.609,-9.316,1.127,22.914,3.689,9.596,27.884,1.109,10.82,45.174,20.817999999999998,0.11,0.25,0.037,0.0,0.87,24.184,18.249,32.884
Servicios educativos,29.944,47.432,-7.703,5.926,4.103,16.808,1.023,16.066,0.073,8.856,0.325,0.052000000000000005,3.632,102.1,8.356,1.8639999999999999,25.389000000000003,14.672,15.438,13.791,0.042,0.048,0.0,0.02,52.339,79.843,43.32,106.727
Servicios de salud y de asistencia social,2.726,8.437,7.589,7.4430000000000005,1.401,13.528,24.932,6.742,1.0030000000000001,5.887,1.591,1.935,11.927,28.913,27.142,22.857,26.775,7.628,27.448999999999998,65.70400000000001,1.736,0.623,1.858,10.123,21.497,26.973,23.515,41.531
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.049999999999999996,3.0020000000000002,1.399,18.997,-0.004,8.359,6.057,13.007,0.9219999999999999,2.2279999999999998,0.082,0.068,1.1239999999999999,0.7100000000000001,0.657,12.94,1.656,1.746,-1.4529999999999998,14.354,0.0,1.05,0.263,-4.333,8.315999999999999,20.357999999999997,21.137,25.397
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,13.042,14.136,17.066000000000003,24.629,7.657,13.932,24.816,4.642,2.352,4.229,5.6450000000000005,4.54,13.745999999999999,26.516000000000002,39.959,16.862000000000002,11.319,16.44,41.47,26.162,5.19,0.533,-0.27399999999999997,-1.6580000000000004,31.974,39.894,58.972,35.693
Otros servicios excepto actividades gubernamentales,9.152,17.787,19.413,19.75,2.334,7.397,25.537,19.44,2.982,6.622,7.096,5.746,13.754999999999999,22.149,34.095,8.423,30.301000000000002,28.817999999999998,8.937,12.028,1.483,2.229,0.445,-12.602000000000002,28.932000000000002,30.828,29.736,44.655
Total,838.0010000000001,873.3449999999999,565.9910000000001,1481.5670000000002,887.454,-1439.7980000000002,1091.845,2463.649,120.50999999999999,127.343,88.479,412.46099999999996,1145.872,-1035.6189999999997,1804.758,1528.416,1558.2709999999997,-1329.4189999999994,2935.5919999999996,3335.4969999999994,56.162,17.742,50.452999999999996,-6.111000000000003,2504.2879999999996,4316.417000000001,11705.822000000002,3372.069
