Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,23.63,-0.24,1492.86,35.96
Industrias manufactureras,309.44,-1.09,20.83,95.11
Comercio al por mayor,329.91,-1.63,323.16,3.85
Comercio al por menor,636.97,0.51,63.56,29.37
"Transportes, correos y almacenamiento",1802.32,-1.04,133.08,28.17
Información en medios masivos,,-1471.71,,190.46
Servicios financieros y de seguros,2018.28,-76.96,2972.7,351.42
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,590.58,0.82,413.33,62.96
"Servicios profesionales, científicos y técnicos",44.38,-1.86,638.71,-192.9
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2480.44,-49.61,306.33,200.18
Servicios educativos,181.16,-0.56,71.18,58.13
Servicios de salud y de asistencia social,149.87,-3.56,374.89,14.78
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-7.68,-8.11,681.18,67.02
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1548.75,-3.26,432.92,48.19
Otros servicios excepto actividades gubernamentales,101.32,-0.99,421.11,55.21
Total,100.0,100.0,100.0,100.0
