Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,25678.69,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,71.46,87.35,75.2,132.28
Industrias manufactureras,88.77,108.33,104.99,100.54
Comercio al por mayor,100.43,74.02,91.04,95.27
Comercio al por menor,96.77,76.64,76.01,74.99
"Transportes, correos y almacenamiento",219.12,144.0,147.25,108.55
Información en medios masivos,193.44,64.18,30.87,65.93
Servicios financieros y de seguros,84.61,64.19,83.04,117.72
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,110.35,43.7,79.4,99.66
"Servicios profesionales, científicos y técnicos",48.22,26.51,62.3,52.26
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",54.24,42.87,66.26,65.55
Servicios educativos,86.29,121.0,129.2,83.68
Servicios de salud y de asistencia social,81.74,86.37,90.28,71.46
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",240.04,313.35,210.55,170.98
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,84.73,73.42,94.84,99.69
Otros servicios excepto actividades gubernamentales,66.81,68.52,65.29,80.61
Total,100.0,100.0,100.0,100.0
