Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.05,3.14,0.04,0.03
Minería,53.04,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",8.2,17.7,0.61,4.05
Construcción,1.82,4.79,0.22,0.55
Industrias manufactureras,14.27,237.14,67.62,34.66
Comercio al por mayor,3.03,36.04,7.74,1.43
Comercio al por menor,6.83,-416.51,11.63,24.5
"Transportes, correos y almacenamiento",6.22,164.52,4.65,27.47
Información en medios masivos,4.08,-0.65,3.28,0.18
Servicios financieros y de seguros,0.1,0.49,0.12,0.36
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.21,3.31,0.49,0.96
"Servicios profesionales, científicos y técnicos",0.32,2.83,0.24,0.03
Dirección y administración de grupos empresariales o corporativos,0.01,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.14,4.05,0.49,1.07
Servicios educativos,0.51,17.66,0.33,1.12
Servicios de salud y de asistencia social,0.3,6.33,0.64,1.31
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.05,2.5,0.16,0.65
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.39,7.43,1.06,0.92
Otros servicios excepto actividades gubernamentales,0.42,9.24,0.68,0.69
Total,100.0,100.0,100.0,100.0
