Año Censal,Entidad,Municipio,Actividad económica,H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),Q000A Acervo total de activos fijos (millones de pesos)
2023,28 Tamaulipas,001 Abasolo,Sector 31-33 Industrias manufactureras,95,15.404,10.398,5.006,0.032,0.138,6.087
2023,28 Tamaulipas,001 Abasolo,Sector 43 Comercio al por mayor,541,1317.445,454.952,862.493,-285.344,-0.809,184.1
2023,28 Tamaulipas,001 Abasolo,Sector 46 Comercio al por menor,540,94.818,15.88,78.938,0.268,1.549,47.855
2023,28 Tamaulipas,001 Abasolo,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,001 Abasolo,Sector 52 Servicios financieros y de seguros,,,,,,,
2023,28 Tamaulipas,001 Abasolo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8,0.31,0.191,0.119,0.02,0.026,1.544
2023,28 Tamaulipas,001 Abasolo,"Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,
2023,28 Tamaulipas,001 Abasolo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,
2023,28 Tamaulipas,001 Abasolo,Sector 62 Servicios de salud y de asistencia social,13,1.14,0.645,0.495,0.11,0.11,0.51
2023,28 Tamaulipas,001 Abasolo,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,
2023,28 Tamaulipas,001 Abasolo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,121,14.871,7.098,7.773,0.15,0.2,9.824
2023,28 Tamaulipas,001 Abasolo,Sector 81 Otros servicios excepto actividades gubernamentales,154,11.342,6.208,5.134,0.044,0.084,8.522
2023,28 Tamaulipas,002 Aldama,Total municipal,3253,1132.445,361.942,770.503,37.988,8.854,671.925
2023,28 Tamaulipas,002 Aldama,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",483,127.457,37.729,89.728,-0.096,-0.096,90.245
2023,28 Tamaulipas,002 Aldama,Sector 21 Minería,,,,,,,
2023,28 Tamaulipas,002 Aldama,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,
2023,28 Tamaulipas,002 Aldama,Sector 23 Construcción,,,,,,,
2023,28 Tamaulipas,002 Aldama,Sector 31-33 Industrias manufactureras,319,169.915,106.451,63.464,4.377,0.389,53.162
2023,28 Tamaulipas,002 Aldama,Sector 43 Comercio al por mayor,121,299.096,51.636,247.46,30.88,0.806,120.107
2023,28 Tamaulipas,002 Aldama,Sector 46 Comercio al por menor,1211,337.811,83.5,254.311,-0.59,3.314,230.662
2023,28 Tamaulipas,002 Aldama,"Sector 48-49 Transportes, correos y almacenamiento",,,,,,,
2023,28 Tamaulipas,002 Aldama,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,002 Aldama,Sector 52 Servicios financieros y de seguros,35,9.906,4.419,5.487,0.006,0.006,37.564
2023,28 Tamaulipas,002 Aldama,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,20,0.941,0.414,0.527,0.003,0,3.448
2023,28 Tamaulipas,002 Aldama,"Sector 54 Servicios profesionales, científicos y técnicos",29,3.439,0.665,2.774,0.032,0.033,17.363
2023,28 Tamaulipas,002 Aldama,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,
2023,28 Tamaulipas,002 Aldama,Sector 61 Servicios educativos,46,2.983,0.542,2.441,0.002,0,4.641
2023,28 Tamaulipas,002 Aldama,Sector 62 Servicios de salud y de asistencia social,70,10.079,3.479,6.6,0.016,-0.003,14.926
2023,28 Tamaulipas,002 Aldama,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",26,2.834,0.556,2.278,0.003,0,6.204
2023,28 Tamaulipas,002 Aldama,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,473,104.089,46.432,57.657,0.215,0.108,27.146
2023,28 Tamaulipas,002 Aldama,Sector 81 Otros servicios excepto actividades gubernamentales,328,36.446,12.2,24.246,0.943,0.829,32.555
2023,28 Tamaulipas,003 Altamira,Total municipal,56732,163916.528,99573.31,64343.218,1667.175,2290.251,51218.518
2023,28 Tamaulipas,003 Altamira,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",911,186.61,82.86,103.75,0.21,0.21,51.291
2023,28 Tamaulipas,003 Altamira,Sector 21 Minería,,,,,,,
2023,28 Tamaulipas,003 Altamira,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",771,5819.587,3285.788,2533.799,373.341,379.823,12137.961
2023,28 Tamaulipas,003 Altamira,Sector 23 Construcción,1535,1047.787,740.697,307.09,5.19,7.449,480.565
2023,28 Tamaulipas,003 Altamira,Sector 31-33 Industrias manufactureras,16646,132055.971,86750.69,45305.281,628.883,1199.821,26607.388
2023,28 Tamaulipas,003 Altamira,Sector 43 Comercio al por mayor,5010,5972.974,1779.686,4193.288,-97.531,98.95,1384.51
2023,28 Tamaulipas,003 Altamira,Sector 46 Comercio al por menor,10137,3686.602,1019.045,2667.557,336.618,183.939,1527.076
2023,28 Tamaulipas,003 Altamira,"Sector 48-49 Transportes, correos y almacenamiento",11451,11375.212,4299.783,7075.429,340.352,340.221,7089.383
2023,28 Tamaulipas,003 Altamira,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,003 Altamira,Sector 52 Servicios financieros y de seguros,244,178.986,113.377,65.609,3.859,3.859,13.115
2023,28 Tamaulipas,003 Altamira,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,586,360.448,125.525,234.923,10.103,10.095,241.974
2023,28 Tamaulipas,003 Altamira,"Sector 54 Servicios profesionales, científicos y técnicos",432,178.38,63.563,114.817,-1.458,-1.458,56.289
2023,28 Tamaulipas,003 Altamira,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",396,110.161,25.735,84.426,9.981,9.88,74.664
2023,28 Tamaulipas,003 Altamira,Sector 61 Servicios educativos,1203,592.191,150.108,442.083,30.197,30.197,651.337
2023,28 Tamaulipas,003 Altamira,Sector 62 Servicios de salud y de asistencia social,543,163.533,67.478,96.055,0.487,0.594,47.357
2023,28 Tamaulipas,003 Altamira,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",148,34.847,13.825,21.022,3.108,3.101,25.554
2023,28 Tamaulipas,003 Altamira,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3307,1082.771,584.353,498.418,8.54,7.725,391.494
2023,28 Tamaulipas,003 Altamira,Sector 81 Otros servicios excepto actividades gubernamentales,3340,990.933,415.897,575.036,16.574,15.845,420.785
2023,28 Tamaulipas,004 Antiguo Morelos,Total municipal,475,77.311,34.12,43.191,0.776,-0.014,54.64
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 23 Construcción,,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 31-33 Industrias manufactureras,50,29.093,18.788,10.305,-0.007,-0.004,10.738
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 43 Comercio al por mayor,8,1,0.156,0.844,0.01,-0.005,0.95
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 46 Comercio al por menor,248,28.59,6.155,22.435,0.901,0.149,20.832
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 52 Servicios financieros y de seguros,,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 61 Servicios educativos,,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 62 Servicios de salud y de asistencia social,7,0.419,0.368,0.051,0.007,0,0.572
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,86,10.122,4.989,5.133,-0.057,-0.065,2.483
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 81 Otros servicios excepto actividades gubernamentales,46,3.684,1.712,1.972,-0.034,-0.045,4.533
2023,28 Tamaulipas,005 Burgos,Total municipal,305,52.768,16.196,36.572,-0.231,0.313,38.487
2023,28 Tamaulipas,005 Burgos,Sector 31-33 Industrias manufactureras,36,6.866,3.97,2.896,0.005,0,2.949
2023,28 Tamaulipas,005 Burgos,Sector 43 Comercio al por mayor,,,,,,,
2023,28 Tamaulipas,005 Burgos,Sector 46 Comercio al por menor,170,32.258,5.415,26.843,-0.206,0.313,24.333
2023,28 Tamaulipas,005 Burgos,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,,,,,
2023,28 Tamaulipas,005 Burgos,"Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,
2023,28 Tamaulipas,005 Burgos,Sector 62 Servicios de salud y de asistencia social,,,,,,,
2023,28 Tamaulipas,005 Burgos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,51,8.217,5.407,2.81,0,0,6.644
2023,28 Tamaulipas,005 Burgos,Sector 81 Otros servicios excepto actividades gubernamentales,37,3.139,0.832,2.307,0,0,2.324
2023,28 Tamaulipas,006 Bustamante,Total municipal,112,19.9,8.425,11.475,-0.144,0,8.854
2023,28 Tamaulipas,006 Bustamante,Sector 31-33 Industrias manufactureras,13,5.072,2.911,2.161,0,0,0.474
2023,28 Tamaulipas,006 Bustamante,Sector 43 Comercio al por mayor,,,,,,,
2023,28 Tamaulipas,006 Bustamante,Sector 46 Comercio al por menor,67,6.493,0.834,5.659,-0.144,0,4.51
2023,28 Tamaulipas,006 Bustamante,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,006 Bustamante,"Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,
2023,28 Tamaulipas,006 Bustamante,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,
2023,28 Tamaulipas,006 Bustamante,Sector 62 Servicios de salud y de asistencia social,,,,,,,
2023,28 Tamaulipas,006 Bustamante,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,12,2.899,1.712,1.187,0,0,2.722
2023,28 Tamaulipas,006 Bustamante,Sector 81 Otros servicios excepto actividades gubernamentales,12,2.664,1.413,1.251,0,0,0.459
2023,28 Tamaulipas,007 Camargo,Total municipal,1928,757.14,266.348,490.792,50.403,51.111,378.272
2023,28 Tamaulipas,007 Camargo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",113,31.841,12.057,19.784,2.712,2.712,48.574
2023,28 Tamaulipas,007 Camargo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,
2023,28 Tamaulipas,007 Camargo,Sector 23 Construcción,,,,,,,
2023,28 Tamaulipas,007 Camargo,Sector 31-33 Industrias manufactureras,164,80.03,40.586,39.444,5.801,5.805,18.684
2023,28 Tamaulipas,007 Camargo,Sector 43 Comercio al por mayor,41,38.762,4.254,34.508,7.182,7.2,13.768
2023,28 Tamaulipas,007 Camargo,Sector 46 Comercio al por menor,713,258.911,50.444,208.467,10.395,11.055,95.946
2023,28 Tamaulipas,007 Camargo,"Sector 48-49 Transportes, correos y almacenamiento",104,129.05,80.281,48.769,-0.01,0,66.723
2023,28 Tamaulipas,007 Camargo,Sector 51 Información en medios masivos,,,,,,,
2023,28 Tamaulipas,007 Camargo,Sector 52 Servicios financieros y de seguros,16,9.342,3.776,5.566,0.23,0.23,1.645
2023,28 Tamaulipas,007 Camargo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,14,2.307,0.833,1.474,0.522,0.522,4.766
2023,28 Tamaulipas,007 Camargo,"Sector 54 Servicios profesionales, científicos y técnicos",47,12.598,2.811,9.787,1.967,1.967,6
2023,28 Tamaulipas,007 Camargo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,
2023,28 Tamaulipas,007 Camargo,Sector 62 Servicios de salud y de asistencia social,124,37.9,8.946,28.954,13.75,13.76,32.624
2023,28 Tamaulipas,007 Camargo,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",9,1.399,0.571,0.828,0.052,0.052,1.551
2023,28 Tamaulipas,007 Camargo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,305,83.993,40.953,43.04,3.941,3.925,24.236
2023,28 Tamaulipas,007 Camargo,Sector 81 Otros servicios excepto actividades gubernamentales,209,38.875,11.55,27.325,2.842,2.844,12.848
2023,28 Tamaulipas,008 Casas,Total municipal,103,19.637,3.905,15.732,1.128,1.209,4.756
2023,28 Tamaulipas,008 Casas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,
2023,28 Tamaulipas,008 Casas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,
2023,28 Tamaulipas,008 Casas,Sector 31-33 Industrias manufactureras,,,,,,,
2023,28 Tamaulipas,008 Casas,Sector 43 Comercio al por mayor,,,,,,,
2023,28 Tamaulipas,008 Casas,Sector 46 Comercio al por menor,52,5.607,0.805,4.802,0.847,0.923,1.949
2023,28 Tamaulipas,008 Casas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,11,2.858,1.481,1.377,0.081,0.086,0.189
2023,28 Tamaulipas,008 Casas,Sector 81 Otros servicios excepto actividades gubernamentales,5,0.523,0.243,0.28,0.145,0.145,0.201
2023,28 Tamaulipas,009 Ciudad Madero,Total municipal,32568,72939.22,51634.413,21304.807,70.734,447.648,39518.003
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,
2023,28 Tamaulipas,009 Ciudad Madero,Sector 21 Minería,,,,,,,
2023,28 Tamaulipas,009 Ciudad Madero,Sector 23 Construcción,1864,1823.471,1087.488,735.983,0.201,-0.316,693.651
2023,28 Tamaulipas,009 Ciudad Madero,Sector 31-33 Industrias manufactureras,7736,59873.394,45457.751,14415.643,-264.734,264.731,25007.01
2023,28 Tamaulipas,009 Ciudad Madero,Sector 43 Comercio al por mayor,603,370.003,83.78,286.223,2.693,9.388,245.567
2023,28 Tamaulipas,009 Ciudad Madero,Sector 46 Comercio al por menor,8078,3786.168,1021.603,2764.565,232.434,73.007,1348.975
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 48-49 Transportes, correos y almacenamiento",719,2639.608,2032.036,607.572,66.429,66.443,10417.75
2023,28 Tamaulipas,009 Ciudad Madero,Sector 52 Servicios financieros y de seguros,278,221.287,127.227,94.06,4.519,4.519,28.828
2023,28 Tamaulipas,009 Ciudad Madero,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,350,130.62,51.06,79.56,0.279,0.094,145.256
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 54 Servicios profesionales, científicos y técnicos",920,355.887,125.506,230.381,0.93,0.924,74.71
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1416,467.954,148.962,318.992,9.119,9.117,82.128
2023,28 Tamaulipas,009 Ciudad Madero,Sector 61 Servicios educativos,1783,350.114,82.919,267.195,0.754,0.78,242.174
2023,28 Tamaulipas,009 Ciudad Madero,Sector 62 Servicios de salud y de asistencia social,1253,271.358,93.646,177.712,3.379,3.165,171.148
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",507,221.173,116.723,104.45,3.467,3.467,81.713
2023,28 Tamaulipas,009 Ciudad Madero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4466,1802.168,919.788,882.38,6.429,7.895,733.374
2023,28 Tamaulipas,009 Ciudad Madero,Sector 81 Otros servicios excepto actividades gubernamentales,2493,584.924,268.745,316.179,4.833,4.432,228.585
2023,28 Tamaulipas,010 Cruillas,Total municipal,90,12.617,4.672,7.945,0.081,0.06,69.828
2023,28 Tamaulipas,010 Cruillas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,
2023,28 Tamaulipas,010 Cruillas,Sector 31-33 Industrias manufactureras,10,2.795,1.681,1.114,0,0,1.02
2023,28 Tamaulipas,010 Cruillas,Sector 43 Comercio al por mayor,,,,,,,
