Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.19,0.12,0.1,0.1
Minería,21.23,36.31,15.1,24.08
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",7.69,4.47,8.0,12.01
Construcción,1.85,0.84,0.34,0.89
Industrias manufactureras,21.06,26.65,26.52,37.56
Comercio al por mayor,3.22,2.63,13.63,0.49
Comercio al por menor,7.21,4.38,3.77,5.9
"Transportes, correos y almacenamiento",14.97,5.67,3.19,5.39
Información en medios masivos,10.22,3.96,18.69,1.87
Servicios financieros y de seguros,3.0,3.12,2.96,3.73
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.96,0.56,0.84,0.91
"Servicios profesionales, científicos y técnicos",0.66,0.64,0.66,0.16
Dirección y administración de grupos empresariales o corporativos,0.94,1.16,0.87,0.92
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.03,4.71,0.76,1.21
Servicios educativos,1.08,1.05,0.83,1.13
Servicios de salud y de asistencia social,0.88,0.97,0.64,0.81
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.51,0.6,0.29,0.5
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.69,1.36,1.99,1.92
Otros servicios excepto actividades gubernamentales,0.63,0.79,0.84,0.41
Total,100.0,100.0,100.0,100.0
