Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,10.37,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,1321.36,-0.4,-609.81,244.09
Industrias manufactureras,574.85,-2.68,22.52,111.87
Comercio al por mayor,403.43,-2.7,142.86,5.68
Comercio al por menor,416.72,0.61,77.37,43.12
"Transportes, correos y almacenamiento",262.92,-0.73,54.67,16.59
Información en medios masivos,267.13,3922.48,3273.32,748.34
Servicios financieros y de seguros,1829.66,-210.33,2393.4,113.73
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3404.3,-5.38,555.78,132.18
"Servicios profesionales, científicos y técnicos",1651.21,-9.84,968.47,170.95
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",263.25,-36.4,486.02,68.39
Servicios educativos,638.43,-0.53,399.5,36.86
Servicios de salud y de asistencia social,1631.2,-2.18,153.51,106.42
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1811.91,-1.83,-60.78,54.63
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1303.87,-4.17,269.07,200.6
Otros servicios excepto actividades gubernamentales,749.1,-4.18,54.81,25.23
Total,100.0,100.0,100.0,100.0
