Instituto Nacional de Estadística y Geografía,,,,,,,,,,,
INEGI. Censos Económicos 2024. Resultados definitivos,,,,,,,,,,,
Fecha de la consulta: 22/09/2025 01:39:41,,,,,,,,,,,
,,,,,,,,,,,
"Año Censal","Entidad","Municipio","Actividad económica","H001A Personal ocupado total","A111A Producción bruta total (millones de pesos)","A121A Consumo intermedio (millones de pesos)","A131A Valor agregado censal bruto (millones de pesos)","A211A Inversión total (millones de pesos)","A221A Formación bruta de capital fijo (millones de pesos)","Q000A Acervo total de activos fijos (millones de pesos)",
2023,"28 Tamaulipas","003 Altamira","Sector 54 Servicios profesionales, científicos y técnicos",432,178.380,63.563,114.817,-1.458,-1.458,56.289,
2023,"28 Tamaulipas","003 Altamira","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",396,110.161,25.735,84.426,9.981,9.880,74.664,
2023,"28 Tamaulipas","003 Altamira","Sector 61 Servicios educativos",1203,592.191,150.108,442.083,30.197,30.197,651.337,
2023,"28 Tamaulipas","003 Altamira","Sector 62 Servicios de salud y de asistencia social",543,163.533,67.478,96.055,0.487,0.594,47.357,
2023,"28 Tamaulipas","003 Altamira","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",148,34.847,13.825,21.022,3.108,3.101,25.554,
2023,"28 Tamaulipas","003 Altamira","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",3307,1082.771,584.353,498.418,8.540,7.725,391.494,
2023,"28 Tamaulipas","003 Altamira","Sector 81 Otros servicios excepto actividades gubernamentales",3340,990.933,415.897,575.036,16.574,15.845,420.785,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 23 Construcción",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 31-33 Industrias manufactureras",50,29.093,18.788,10.305,-0.007,-0.004,10.738,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 43 Comercio al por mayor",8,1.000,0.156,0.844,0.010,-0.005,0.950,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 46 Comercio al por menor",248,28.590,6.155,22.435,0.901,0.149,20.832,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 51 Información en medios masivos",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 52 Servicios financieros y de seguros",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 61 Servicios educativos",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 62 Servicios de salud y de asistencia social",7,0.419,0.368,0.051,0.007,0.000,0.572,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,,,,,,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",86,10.122,4.989,5.133,-0.057,-0.065,2.483,
2023,"28 Tamaulipas","004 Antiguo Morelos","Sector 81 Otros servicios excepto actividades gubernamentales",46,3.684,1.712,1.972,-0.034,-0.045,4.533,
2023,"28 Tamaulipas","005 Burgos","Sector 31-33 Industrias manufactureras",36,6.866,3.970,2.896,0.005,0.000,2.949,
2023,"28 Tamaulipas","005 Burgos","Sector 43 Comercio al por mayor",,,,,,,,
2023,"28 Tamaulipas","005 Burgos","Sector 46 Comercio al por menor",170,32.258,5.415,26.843,-0.206,0.313,24.333,
2023,"28 Tamaulipas","005 Burgos","Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",,,,,,,,
2023,"28 Tamaulipas","005 Burgos","Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,,
2023,"28 Tamaulipas","005 Burgos","Sector 62 Servicios de salud y de asistencia social",,,,,,,,
2023,"28 Tamaulipas","005 Burgos","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",51,8.217,5.407,2.810,0.000,0.000,6.644,
2023,"28 Tamaulipas","005 Burgos","Sector 81 Otros servicios excepto actividades gubernamentales",37,3.139,0.832,2.307,0.000,0.000,2.324,
2023,"28 Tamaulipas","006 Bustamante","Sector 31-33 Industrias manufactureras",13,5.072,2.911,2.161,0.000,0.000,0.474,
2023,"28 Tamaulipas","006 Bustamante","Sector 43 Comercio al por mayor",,,,,,,,
2023,"28 Tamaulipas","006 Bustamante","Sector 46 Comercio al por menor",67,6.493,0.834,5.659,-0.144,0.000,4.510,
2023,"28 Tamaulipas","006 Bustamante","Sector 51 Información en medios masivos",,,,,,,,
2023,"28 Tamaulipas","006 Bustamante","Sector 54 Servicios profesionales, científicos y técnicos",,,,,,,,
2023,"28 Tamaulipas","006 Bustamante","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,
2023,"28 Tamaulipas","006 Bustamante","Sector 62 Servicios de salud y de asistencia social",,,,,,,,
2023,"28 Tamaulipas","006 Bustamante","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",12,2.899,1.712,1.187,0.000,0.000,2.722,
2023,"28 Tamaulipas","006 Bustamante","Sector 81 Otros servicios excepto actividades gubernamentales",12,2.664,1.413,1.251,0.000,0.000,0.459,
