Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",257.78,396.28,99.66,58.15
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,341.93,216.94,133.07,146.61
Industrias manufactureras,68.65,65.15,72.43,79.16
Comercio al por mayor,394.84,217.12,224.91,169.55
Comercio al por menor,289.64,209.02,133.73,101.09
"Transportes, correos y almacenamiento",207.05,94.71,105.08,49.8
Información en medios masivos,90.92,1479.9,274.33,552.0
Servicios financieros y de seguros,11464.74,5444.47,986.48,1046.5
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,513.99,155.28,243.87,302.97
"Servicios profesionales, científicos y técnicos",234.86,59.33,233.62,139.3
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",642.0,192.53,180.57,520.85
Servicios educativos,242.96,388.02,120.41,169.26
Servicios de salud y de asistencia social,533.49,431.21,197.43,114.5
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1125.87,272.8,404.21,202.5
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,447.53,332.33,219.27,158.3
Otros servicios excepto actividades gubernamentales,233.69,333.42,141.05,126.4
Total,100.0,100.0,100.0,100.0
