Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,5.24,2.54,2.98,2.23
Industrias manufactureras,79.27,73.29,72.37,67.52
Comercio al por mayor,1.83,2.74,2.08,3.2
Comercio al por menor,3.63,5.05,6.72,8.24
"Transportes, correos y almacenamiento",1.18,3.55,3.3,6.76
Información en medios masivos,1.52,0.77,3.15,0.98
Servicios financieros y de seguros,0.13,0.25,0.7,0.52
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.63,1.04,0.48,0.44
"Servicios profesionales, científicos y técnicos",1.39,3.75,0.65,0.91
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.9,1.95,1.56,0.97
Servicios educativos,0.33,0.44,0.49,0.62
Servicios de salud y de asistencia social,0.46,0.55,0.8,1.52
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.04,0.06,0.06,0.12
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.91,2.69,2.77,4.11
Otros servicios excepto actividades gubernamentales,1.53,1.33,1.88,1.85
Total,100.0,100.0,100.0,100.0
